Ponto;Grupo
0000;0003
0001;0003
0002;0003
0003;0003
0004;0003
0005;0003
0006;0003
0007;0003
0008;0003
0009;0003
0010;0003
0011;0003
0012;0003
0013;0003
0014;0003
0015;0003
0016;0003
0017;0003
0018;0003
0019;0003
0020;0003
0021;0003
0022;0003
0023;0003
0024;0003
0025;0003
0026;0003
0027;0003
0028;0003
0029;0003
0030;0003
0031;0003
0032;0003
0033;0003
0034;0003
0035;0003
0036;0003
0037;0003
0038;0003
0039;0003
0040;0003
0041;0001
0042;0003
0043;0003
0044;0003
0045;0003
0046;0003
0047;0003
0048;0003
0049;0003
0050;0002
0051;0002
0052;0002
0053;0001
0054;0002
0055;0001
0056;0002
0057;0001
0058;0002
0059;0001
0060;0001
0061;0001
0062;0001
0063;0001
0064;0001
0065;0002
0066;0001
0067;0001
0068;0001
0069;0001
0070;0002
0071;0001
0072;0001
0073;0001
0074;0002
0075;0002
0076;0002
0077;0002
0078;0001
0079;0001
0080;0001
0081;0001
0082;0001
0083;0001
0084;0001
0085;0003
0086;0002
0087;0001
0088;0001
0089;0001
0090;0001
0091;0001
0092;0001
0093;0001
0094;0001
0095;0001
0096;0001
0097;0001
0098;0001
0099;0001
0100;0002
0101;0001
0102;0002
0103;0002
0104;0002
0105;0002
0106;0001
0107;0002
0108;0001
0109;0002
0110;0002
0111;0001
0112;0002
0113;0001
0114;0001
0115;0002
0116;0002
0117;0002
0118;0002
0119;0001
0120;0002
0121;0001
0122;0002
0123;0001
0124;0002
0125;0002
0126;0001
0127;0001
0128;0001
0129;0002
0130;0002
0131;0002
0132;0001
0133;0001
0134;0001
0135;0002
0136;0002
0137;0002
0138;0001
0139;0002
0140;0002
0141;0002
0142;0001
0143;0002
0144;0002
0145;0002
0146;0001
0147;0002
0148;0002
0149;0001
