Ponto;Grupo
0000;0001
0001;0001
0002;0001
0003;0001
0004;0001
0005;0001
0006;0001
0007;0001
0008;0001
0009;0001
0010;0001
0011;0001
0012;0001
0013;0001
0014;0001
0015;0001
0016;0001
0017;0001
0018;0001
0019;0001
0020;0001
0021;0001
0022;0001
0023;0001
0024;0001
0025;0001
0026;0001
0027;0001
0028;0001
0029;0001
0030;0001
0031;0001
0032;0001
0033;0001
0034;0001
0035;0001
0036;0001
0037;0001
0038;0001
0039;0001
0040;0001
0041;0001
0042;0001
0043;0001
0044;0001
0045;0001
0046;0001
0047;0001
0048;0001
0049;0001
0050;0001
0051;0001
0052;0001
0053;0001
0054;0001
0055;0001
0056;0001
0057;0001
0058;0001
0059;0001
0060;0001
0061;0001
0062;0001
0063;0001
0064;0001
0065;0001
0066;0001
0067;0001
0068;0001
0069;0001
0070;0001
0071;0001
0072;0001
0073;0001
0074;0001
0075;0001
0076;0001
0077;0001
0078;0001
0079;0001
0080;0001
0081;0001
0082;0001
0083;0001
0084;0001
0085;0001
0086;0001
0087;0001
0088;0001
0089;0001
0090;0001
0091;0001
0092;0001
0093;0001
0094;0001
0095;0001
0096;0001
0097;0001
0098;0001
0099;0001
0100;0001
0101;0001
0102;0001
0103;0001
0104;0001
0105;0001
0106;0001
0107;0001
0108;0001
0109;0001
0110;0001
0111;0001
0112;0001
0113;0001
0114;0001
0115;0001
0116;0001
0117;0001
0118;0001
0119;0001
0120;0001
0121;0001
0122;0001
0123;0001
0124;0001
0125;0001
0126;0001
0127;0001
0128;0001
0129;0001
0130;0001
0131;0001
0132;0001
0133;0001
0134;0001
0135;0001
0136;0001
0137;0001
0138;0001
0139;0001
0140;0001
0141;0001
0142;0001
0143;0001
0144;0001
0145;0001
0146;0001
0147;0001
0148;0001
0149;0001
0150;0001
0151;0001
0152;0001
0153;0001
0154;0001
0155;0001
0156;0001
0157;0001
0158;0001
0159;0001
0160;0001
0161;0001
0162;0001
0163;0001
0164;0001
0165;0001
0166;0001
0167;0001
0168;0001
0169;0001
0170;0001
0171;0001
0172;0001
0173;0001
0174;0001
0175;0001
0176;0001
0177;0001
0178;0001
0179;0001
0180;0001
0181;0001
0182;0001
0183;0001
0184;0001
0185;0001
0186;0001
0187;0001
0188;0001
0189;0001
0190;0001
0191;0001
0192;0001
0193;0001
0194;0001
0195;0001
0196;0001
0197;0001
0198;0001
0199;0001
0200;0001
0201;0001
0202;0001
0203;0001
0204;0001
0205;0001
0206;0001
0207;0001
0208;0001
0209;0001
0210;0001
0211;0001
0212;0001
0213;0001
0214;0001
0215;0001
0216;0001
0217;0001
0218;0001
0219;0001
0220;0001
0221;0001
0222;0001
0223;0001
0224;0001
0225;0001
0226;0001
0227;0001
0228;0001
0229;0001
0230;0001
0231;0001
0232;0001
0233;0001
0234;0001
0235;0001
0236;0001
0237;0001
0238;0001
0239;0001
0240;0001
0241;0001
0242;0001
0243;0001
0244;0001
0245;0001
0246;0001
0247;0001
0248;0001
0249;0001
0250;0001
0251;0001
0252;0001
0253;0001
0254;0001
0255;0001
0256;0001
0257;0001
0258;0001
0259;0001
0260;0001
0261;0001
0262;0001
0263;0001
0264;0001
0265;0001
0266;0001
0267;0001
0268;0001
0269;0001
