index	sepal_width	petal_length	petal_width
0	3.5	1.4	0.2
1	3.0	1.4	0.2
2	3.2	1.3	0.2
3	3.1	1.5	0.2
4	3.6	1.4	0.2
5	3.9	1.7	0.4
6	3.4	1.4	0.3
7	3.4	1.5	0.2
8	2.9	1.4	0.2
9	3.1	1.5	0.1
10	3.7	1.5	0.2
11	3.4	1.6	0.2
12	3.0	1.4	0.1
13	3.0	1.1	0.1
14	4.0	1.2	0.2
15	4.4	1.5	0.4
16	3.9	1.3	0.4
17	3.5	1.4	0.3
18	3.8	1.7	0.3
19	3.8	1.5	0.3
20	3.4	1.7	0.2
21	3.7	1.5	0.4
22	3.6	1.0	0.2
23	3.3	1.7	0.5
24	3.4	1.9	0.2
25	3.0	1.6	0.2
26	3.4	1.6	0.4
27	3.5	1.5	0.2
28	3.4	1.4	0.2
29	3.2	1.6	0.2
30	3.1	1.6	0.2
31	3.4	1.5	0.4
32	4.1	1.5	0.1
33	4.2	1.4	0.2
34	3.1	1.5	0.2
35	3.2	1.2	0.2
36	3.5	1.3	0.2
37	3.6	1.4	0.1
38	3.0	1.3	0.2
39	3.4	1.5	0.2
40	3.5	1.3	0.3
41	2.3	1.3	0.3
42	3.2	1.3	0.2
43	3.5	1.6	0.6
44	3.8	1.9	0.4
45	3.0	1.4	0.3
46	3.8	1.6	0.2
47	3.2	1.4	0.2
48	3.7	1.5	0.2
49	3.3	1.4	0.2
50	3.2	4.7	1.4
51	3.2	4.5	1.5
52	3.1	4.9	1.5
53	2.3	4.0	1.3
54	2.8	4.6	1.5
55	2.8	4.5	1.3
56	3.3	4.7	1.6
57	2.4	3.3	1.0
58	2.9	4.6	1.3
59	2.7	3.9	1.4
60	2.0	3.5	1.0
61	3.0	4.2	1.5
62	2.2	4.0	1.0
63	2.9	4.7	1.4
64	2.9	3.6	1.3
65	3.1	4.4	1.4
66	3.0	4.5	1.5
67	2.7	4.1	1.0
68	2.2	4.5	1.5
69	2.5	3.9	1.1
70	3.2	4.8	1.8
71	2.8	4.0	1.3
72	2.5	4.9	1.5
73	2.8	4.7	1.2
74	2.9	4.3	1.3
75	3.0	4.4	1.4
76	2.8	4.8	1.4
77	3.0	5.0	1.7
78	2.9	4.5	1.5
79	2.6	3.5	1.0
80	2.4	3.8	1.1
81	2.4	3.7	1.0
82	2.7	3.9	1.2
83	2.7	5.1	1.6
84	3.0	4.5	1.5
85	3.4	4.5	1.6
86	3.1	4.7	1.5
87	2.3	4.4	1.3
88	3.0	4.1	1.3
89	2.5	4.0	1.3
90	2.6	4.4	1.2
91	3.0	4.6	1.4
92	2.6	4.0	1.2
93	2.3	3.3	1.0
94	2.7	4.2	1.3
95	3.0	4.2	1.2
96	2.9	4.2	1.3
97	2.9	4.3	1.3
98	2.5	3.0	1.1
99	2.8	4.1	1.3
100	3.3	6.0	2.5
101	2.7	5.1	1.9
102	3.0	5.9	2.1
103	2.9	5.6	1.8
104	3.0	5.8	2.2
105	3.0	6.6	2.1
106	2.5	4.5	1.7
107	2.9	6.3	1.8
108	2.5	5.8	1.8
109	3.6	6.1	2.5
110	3.2	5.1	2.0
111	2.7	5.3	1.9
112	3.0	5.5	2.1
113	2.5	5.0	2.0
114	2.8	5.1	2.4
115	3.2	5.3	2.3
116	3.0	5.5	1.8
117	3.8	6.7	2.2
118	2.6	6.9	2.3
119	2.2	5.0	1.5
120	3.2	5.7	2.3
121	2.8	4.9	2.0
122	2.8	6.7	2.0
123	2.7	4.9	1.8
124	3.3	5.7	2.1
125	3.2	6.0	1.8
126	2.8	4.8	1.8
127	3.0	4.9	1.8
128	2.8	5.6	2.1
129	3.0	5.8	1.6
130	2.8	6.1	1.9
131	3.8	6.4	2.0
132	2.8	5.6	2.2
133	2.8	5.1	1.5
134	2.6	5.6	1.4
135	3.0	6.1	2.3
136	3.4	5.6	2.4
137	3.1	5.5	1.8
138	3.0	4.8	1.8
139	3.1	5.4	2.1
140	3.1	5.6	2.4
141	3.1	5.1	2.3
142	2.7	5.1	1.9
143	3.2	5.9	2.3
144	3.3	5.7	2.5
145	3.0	5.2	2.3
146	2.5	5.0	1.9
147	3.0	5.2	2.0
148	3.4	5.4	2.3
149	3.0	5.1	1.8
