Ponto;Grupo
0000;0002
0001;0002
0002;0001
0003;0002
0004;0001
0005;0001
0006;0002
0007;0002
0008;0002
0009;0002
0010;0002
0011;0001
0012;0001
0013;0001
0014;0001
0015;0002
0016;0002
0017;0002
0018;0001
0019;0001
0020;0002
0021;0001
0022;0002
0023;0001
0024;0001
0025;0001
0026;0002
0027;0001
0028;0002
0029;0001
0030;0001
0031;0002
0032;0001
0033;0002
0034;0002
0035;0001
0036;0002
0037;0001
0038;0001
0039;0001
0040;0001
0041;0001
0042;0001
0043;0001
0044;0002
0045;0001
0046;0001
0047;0001
0048;0001
0049;0002
0050;0002
0051;0001
0052;0001
0053;0001
0054;0001
0055;0001
0056;0002
0057;0001
0058;0002
0059;0002
0060;0001
0061;0002
0062;0001
0063;0001
0064;0002
0065;0002
0066;0001
0067;0001
0068;0001
0069;0001
0070;0002
0071;0001
0072;0001
0073;0002
0074;0001
0075;0002
0076;0002
0077;0001
0078;0001
0079;0001
0080;0002
0081;0002
0082;0001
0083;0002
0084;0002
0085;0001
0086;0001
0087;0002
0088;0001
0089;0002
0090;0001
0091;0001
0092;0002
0093;0002
0094;0001
0095;0002
0096;0002
0097;0001
0098;0001
0099;0001
0100;0001
0101;0002
0102;0001
0103;0002
0104;0002
0105;0002
0106;0002
0107;0002
0108;0001
0109;0001
0110;0002
0111;0001
0112;0001
0113;0001
0114;0001
0115;0001
0116;0001
0117;0002
0118;0002
0119;0002
0120;0002
0121;0002
0122;0002
0123;0001
0124;0002
0125;0001
0126;0002
0127;0001
0128;0001
0129;0001
0130;0002
0131;0001
0132;0001
0133;0002
0134;0001
0135;0002
0136;0001
0137;0002
0138;0001
0139;0001
0140;0002
0141;0001
0142;0001
0143;0001
0144;0001
0145;0002
0146;0001
0147;0002
0148;0001
0149;0001
0150;0001
0151;0002
0152;0001
0153;0002
0154;0001
0155;0001
0156;0002
0157;0001
0158;0001
0159;0002
0160;0001
0161;0002
0162;0001
0163;0002
0164;0001
0165;0001
0166;0001
0167;0002
0168;0002
0169;0001
0170;0001
0171;0002
0172;0002
0173;0002
0174;0001
0175;0002
0176;0002
0177;0002
0178;0002
0179;0001
0180;0002
0181;0002
0182;0001
0183;0002
0184;0001
0185;0001
0186;0002
0187;0001
0188;0002
0189;0002
0190;0001
0191;0002
0192;0001
0193;0001
0194;0001
0195;0001
0196;0002
0197;0002
0198;0001
0199;0001
0200;0001
0201;0001
0202;0002
0203;0001
0204;0002
0205;0001
0206;0001
0207;0002
0208;0002
0209;0002
0210;0001
0211;0002
0212;0001
0213;0002
0214;0001
0215;0001
0216;0001
0217;0001
0218;0001
0219;0001
0220;0002
0221;0002
0222;0001
0223;0002
0224;0001
0225;0001
0226;0002
0227;0002
0228;0001
0229;0001
0230;0002
0231;0002
0232;0001
0233;0001
0234;0002
0235;0002
0236;0001
0237;0002
0238;0001
0239;0001
0240;0002
0241;0001
0242;0002
0243;0002
0244;0001
0245;0001
0246;0001
0247;0001
0248;0002
0249;0002
0250;0002
0251;0001
0252;0001
0253;0001
0254;0001
0255;0001
0256;0002
0257;0002
0258;0001
0259;0001
0260;0001
0261;0002
0262;0001
0263;0001
0264;0002
0265;0001
0266;0001
0267;0001
0268;0002
0269;0002
