x1,x2,x3,y
1,5,6,12
2,3,6,23
3,6,9,41
4,8,8,61
5,4,5,75
6,2,4,87
7,4,14,112
8,5,5,130
9,6,5,150
10,7,4,171
11,8,3,193
12,6.866666667,4.066666667,215.9333333
13,7.151515152,3.660606061,239.7454545
14,7.436363636,3.254545455,264.4363636
15,7.721212121,2.848484848,290.0060606
16,8.006060606,2.442424242,316.4545455
17,8.290909091,2.036363636,343.7818182
18,8.575757576,1.63030303,371.9878788
19,8.860606061,1.224242424,401.0727273
20,9.145454545,0.818181818,431.0363636
21,9.43030303,0.412121212,461.8787879
22,9.715151515,0.006060606,493.6
23,10,-0.4,526.2
24,10.28484848,-0.806060606,559.6787879
25,10.56969697,-1.212121212,594.0363636
