 acquisitions       data                    prediction 
    1     31.92     34.76
    2     30.61     34.50
    3     30.58     34.32
    4     30.83     33.78
    5     30.72     33.80
    6     31.99     33.92
    7     33.05     34.01
    8     33.85     34.21
    9     34.56     34.44
   10     34.45     34.43
   11     34.57     34.70
   12     34.25     34.39
   13     34.47     34.57
   14     34.59     35.00
   15     34.65     35.03
   16     35.80     34.88
   17     36.85     34.82
   18     36.99     35.47
   19     35.89     35.56
   20     35.27     35.49
   21     36.31     35.55
   22     35.66     35.60
   23     35.28     35.89
   24     35.91     35.36
   25     35.48     35.37
   26     34.97     35.39
   27     35.00     35.33
   28     35.60     35.56
   29     37.20     35.47
   30     36.24     35.64
   31     35.49     35.43
   32     36.27     35.72
   33     36.10     35.87
   34     35.87     36.23
   35     36.84     36.00
   36     36.27     35.75
   37     36.28     35.49
   38     35.71     35.71
   39     36.37     34.81
   40     37.52     35.19
   41     37.22     35.40
   42     36.97     35.32
   43     34.14     35.19
   44     34.69     34.71
   45     34.68     34.17
   46     35.65     34.06
   47     34.81     34.93
   48     34.37     35.37
   49     33.73     34.59
   50     33.76     34.50
   51     32.87     34.90
   52     33.16     35.03
   53     34.27     34.98
   54     34.05     35.46
   55     34.38     35.37
   56     34.97     35.60
   57     35.00     35.42
   58     34.08     35.87
   59     34.50     35.80
   60     35.11     36.27
   61     35.24     36.17
   62     35.23     36.26
   63     34.87     36.63
   64     34.83     36.91
   65     34.94     36.61
   66     36.69     36.10
   67     37.09     36.31
   68     36.60     36.42
   69     36.64     36.03
   70     37.54     36.15
   71     34.75     35.76
   72     34.12     36.05
   73     34.71     35.69
   74     35.12     35.55
   75     33.37     35.76
   76     33.14     35.27
   77     33.09     34.70
   78     33.19     35.00
   79     33.43     34.49
   80     33.44     34.79
   81     32.84     34.46
   82     33.06     34.15
   83     34.62     33.95
   84     34.39     33.94
   85     35.69     33.88
   86     34.26     33.34
   87     34.69     33.00
   88     36.44     33.32
   89     36.58     33.58
   90     36.63     33.12
   91     37.66     33.85
   92     37.69     33.63
   93     36.84     34.05
   94     37.15     34.01
   95     37.67     33.63
   96     39.06     33.86
   97     34.40     34.18
   98     35.10     34.19
   99     35.21     34.34
  100     33.74     34.44
  101     33.01     34.35
  102     33.26     34.63
  103     33.23     34.09
  104     32.92     34.47
  105     33.76     34.43
  106     33.74     34.31
  107     33.86     34.24
  108     33.73     33.84
  109     33.33     33.78
  110     32.91     33.46
  111     32.41     33.21
  112     32.70     32.35
  113     32.27     32.28
  114     29.93     32.25
  115     30.19     32.39
  116     29.87     32.26
  117     29.73     32.47
  118     29.10     32.02
  119     28.91     32.44
  120     30.86     32.10
  121     31.31     32.23
  122     30.88     32.60
  123     30.54     32.40
  124     31.11     32.06
  125     31.85     31.97
  126     30.49     32.10
  127     30.03     31.81
  128     30.92     32.13
  129     31.20     32.68
  130     31.18     32.74
  131     30.57     32.37
  132     30.70     32.05
  133     29.72     32.54
  134     30.31     32.14
  135     31.32     31.98
  136     31.67     32.23
  137     31.94     31.92
  138     31.59     32.05
  139     31.93     32.00
  140     33.31     32.39
  141     33.79     32.68
  142     34.01     32.75
  143     34.73     32.74
  144     36.96     32.88
  145     36.50     33.20
  146     36.52     33.15
  147     36.32     33.01
  148     36.88     33.42
  149     37.52     33.60
  150     39.33     34.19
  151     39.85     34.28
  152     39.71     34.57
  153     38.96     34.54
  154     34.88     34.89
  155     34.63     34.68
  156     35.16     35.19
  157     36.20     35.47
  158     36.84     35.92
  159     35.31     36.06
  160     35.88     35.76
  161     37.22     35.22
  162     37.47     35.36
  163     37.09     35.58
  164     37.38     35.59
  165     38.27     35.60
  166     36.11     35.39
  167     37.17     35.39
  168     37.84     35.05
  169     37.29     35.05
  170     37.21     35.21
  171     35.90     35.33
  172     35.54     35.49
  173     35.48     35.43
  174     35.27     35.52
  175     34.26     35.72
  176     34.68     35.87
  177     34.60     35.28
  178     34.41     35.12
  179     34.82     35.02
  180     34.76     34.77
  181     34.69     35.48
  182     35.40     35.62
  183     32.90     35.77
  184     32.64     35.64
  185     32.87     35.43
  186     32.64     35.33
  187     32.67     34.84
  188     33.32     34.77
