DATA;IbovFut;Oil;PETR3
4012022;106.355;78.11;31.92
5012022;105.265;78.91;30.61
6012022;104.605;80.07;30.58
7012022;102;80.22;30.83
10012022;102.48;82;30.72
11012022;102.995;81.76;31.99
12012022;103.3;81.08;33.05
13012022;104.81;83.78;33.85
14012022;106.19;84.87;34.56
17012022;105.99;84.12;34.45
18012022;107.695;86.15;34.57
19012022;106.275;86.47;34.25
20012022;107.57;88.65;34.47
21012022;109.505;87.89;34.59
24012022;109.445;86.75;34.65
25012022;108.925;87.93;35.8
26012022;108.4;86.76;36.85
27012022;111.625;86.98;36.99
28012022;112.36;88.5;35.89
31012022;112.34;89.98;35.27
1022022;112.79;90.8;36.31
2022022;112.795;89.62;35.66
3022022;114.15;89.48;35.28
4022022;111.5;89.07;35.91
7022022;111.995;91.3;35.48
8022022;112.385;92.75;34.97
9022022;112.075;92.63;35
10022022;112.89;91.08;35.6
11022022;112.6;91.75;37.2
14022022;113.3;91.17;36.24
15022022;113.1;95.2;35.49
16022022;114.6;95.81;36.27
17022022;114.88;93.49;36.1
18022022;116.35;92.2;35.87
21022022;115.375;92.73;36.84
22022022;114.435;94.29;36.27
23022022;113.65;96.55;36.28
24022022;114.715;96.65;35.71
25022022;110.625;98.08;36.37
2032022;112.58;98.43;37.52
3032022;115.39;107.34;37.22
4032022;116.595;115.27;36.97
7032022;115.77;114.23;34.14
8032022;115.15;122.79;34.69
9032022;112.855;124.56;34.68
10032022;113.485;130.28;35.65
11032022;114.175;112.65;34.81
14032022;115.815;110.26;34.37
15032022;112.615;113.15;33.73
16032022;110.6;105.34;33.76
17032022;111.285;99.14;32.87
18032022;111.825;98.61;33.16
21032022;113.22;106.8;34.27
22032022;115.705;107.5;34.05
23032022;117.2;117.04;34.38
24032022;117.85;114.7;34.97
25032022;118.335;121.56;35
28032022;119.99;118.88;34.08
29032022;119.85;119.9;34.5
30032022;120.185;110.1;35.11
31032022;120.055;112;35.24
1042022;120.665;112.81;35.23
4042022;120.97;105.25;34.87
5042022;122.085;104.08;34.83
6042022;121.49;108.51;34.94
7042022;118.475;105.7;36.69
8042022;118.675;101.78;37.09
11042022;119.15;101.42;36.6
12042022;117.605;103.21;36.64
13042022;117.44;99.35;37.54
14042022;116.77;105.44;34.75
18042022;118.73;108.29;34.12
19042022;117.8;112.32;34.71
20042022;117.23;112.85;35.12
22042022;117.305;108.1;33.37
25042022;114.3;105.06;33.14
26042022;111.45;104.62;33.09
27042022;112.43;102.3;33.19
28042022;110.5;105.06;33.43
29042022;111.934;104.96;33.44
2052022;110.845;107.55;32.84
3052022;109.095;106.3;33.06
4052022;108.38;107.61;34.62
5052022;108;105.91;34.39
6052022;108.635;110.55;35.69
9052022;106.145;111.27;34.26
10052022;104.825;112.94;34.69
11052022;104.9;105.5;36.44
12052022;105.335;101.51;36.58
13052022;104.33;107.67;36.63
16052022;108;108.25;37.66
17052022;107.64;111.67;37.69
18052022;110.25;114.42;36.84
19052022;109.72;112.91;37.15
20052022;106.95;108.22;37.67
23052022;108.715;111.45;39.06
24052022;110.035;110.29;34.4
25052022;110.1;110.42;35.1
26052022;111.045;111.35;35.21
27052022;111.53;111.44;33.74
30052022;112.35;117.52;33.01
31052022;113.3;115.47;33.26
1062022;111.2;118.2;33.23
2062022;112.015;113.14;32.92
3062022;112.205;115.02;33.76
6062022;112.29;118.22;33.74
7062022;112.6;121.55;33.86
8062022;110.35;119.94;33.73
9062022;110.165;120.65;33.33
10062022;109.2;123.6;32.91
13062022;107.865;122.89;32.41
14062022;103.5;121.94;32.7
15062022;103.12;121.88;32.27
17062022;102.765;120.79;29.93
20062022;103.13;119.13;30.19
21062022;101.4;113.88;29.87
22062022;102.515;114.21;29.73
23062022;100.345;114.4;29.1
24062022;101.44;109.58;28.91
27062022;99.845;110.04;30.86
28062022;101.1;112.92;31.31
29062022;103.465;115.74;30.88
30062022;102.11;113.93;30.54
1072022;100.175;112.45;31.11
4072022;99.1;109.49;31.85
5072022;100.165;111.65;30.49
6072022;99.15;113.54;30.03
7072022;98.95;104.88;30.92
8072022;100.705;100.14;31.2
11072022;102.235;106.39;31.18
12072022;100.51;106.83;30.57
13072022;98.875;106.34;30.7
14072022;99.7;98.56;29.72
15072022;97.86;99.28;30.31
18072022;97.23;100.02;31.32
19072022;98.615;100.7;31.67
20072022;98.14;105.76;31.94
21072022;98.99;106.97;31.59
22072022;98.655;106.5;31.93
25072022;100;103.65;33.31
26072022;100.47;98.99;33.79
27072022;100.945;99.75;34.01
28072022;100.9;99.83;34.73
29072022;102.086;102.35;36.96
1082022;103.735;102.64;36.5
2082022;103.642;103.33;36.52
3082022;102.25;99.81;36.32
4082022;104.205;99.73;36.88
5082022;104.568;97.1;37.52
8082022;106.735;93.8;39.33
9082022;107.25;93.98;39.85
10082022;109.1;96.31;39.71
11082022;109;96.38;38.96
12082022;110.8;96.99;34.88
15082022;110.285;99.33;34.63
16082022;111.5;93.19;35.16
17082022;113.05;94.02;36.2
18082022;114.945;92.66;36.84
19082022;115.785;93.3;35.31
22082022;114.98;96.68;35.88
23082022;112.15;95.63;37.22
24082022;113.06;96.84;37.47
25082022;114.775;100.1;37.09
26082022;115.22;101.84;37.38
29082022;114.855;99.81;38.27
30082022;113.645;98.96;36.11
31082022;114.395;102.63;37.17
1092022;111.865;98.31;37.84
2092022;111.25;95.34;37.29
5092022;111.538;92.76;37.21
6092022;112.472;94.59;35.9
8092022;113.35;95.15;35.54
9092022;111.638;87.98;35.48
12092022;112.2;88.62;35.27
13092022;113.946;92.54;34.26
14092022;115.064;94.31;34.68
15092022;111.96;93.35;34.6
16092022;111.48;94.65;34.41
19092022;110.125;90.51;34.82
20092022;109.104;91.43;34.76
21092022;112.7;92.15;34.69
22092022;113.094;90.66;35.4
23092022;113.69;89.99;32.9
26092022;113.158;90.44;32.64
27092022;111.03;85.03;32.87
28092022;110.35;84.05;32.64
29092022;108.135;84.84;32.67
30092022;108.32;87.62;33.32
